"id","label","parent","obsolete"
"0101","label.org_low.0101","01","0"
"0102","label.org_low.0102","01","0"
"0103","label.org_low.0103","01","0"
"0104","label.org_low.0104","01","0"
"0105","label.org_low.0105","01","0"
"0201","label.org_low.0201","02","0"
"0202","label.org_low.0202","02","0"
"0203","label.org_low.0203","02","0"
"0301","label.org_low.0301","03","0"
"0401","label.org_low.0401","04","0"
"0402","label.org_low.0402","04","0"
"0403","label.org_low.0403","04","0"
"0404","label.org_low.0404","04","0"
"0405","label.org_low.0405","04","0"
"0406","label.org_low.0406","04","0"
